"Name","Chr:bp","Genomic size (bp)","Class","Source Study","Study description"
"nsv4546764","14:67929232-67929232","-","insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748151","14:67929803-67929831","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748009","14:67930328-67930342","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748465","14:67930918-67930938","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748152","14:67931950-67931969","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748010","14:67937896-67937913","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4218003","14:67938497-67951913","13,417","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748467","14:67938975-67938989","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2658077","14:67939499-67942381","2,883","CNV","DGVa:estd199","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 1. PMID:23128226"
"nsv4622210","14:67939517-67942348","2,832","CNV","dbVar:nstd183","NCBI database of human genomic structural variation: This CNV consensus set represents common population CNVs with allele frequencies as displayed in the DECIPHER download file [https://decipher.sanger.ac.uk/files/downloads/population_cnv.txt.gz|https://decipher.sanger.ac.uk/files/downloads/population_cnv.txt.gz]. The set is comprised of a number of carefully selected, high resolution controls sets where frequency information is available. Data sets included are: 42 Million study (raw call lists and genotyped regions), WTCCC study (merged Affy6 data set), 1000 Genomes pilot (merged deletions and tandem duplications) and DDD study (national blood service controls and generation Scotland controls)."
"nsv4671409","14:67939517-67942348","2,832","CNV","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"esv3634811","14:67939530-67942412","2,883","CNV","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"nsv1748011","14:67939966-67939977","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv76572","14:67940060-67940060","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748468","14:67943531-67943559","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748469","14:67943890-67943924","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748470","14:67944372-67944386","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771835","14:67945482-67945507","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4221334","14:67945616-67945717","102","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748471","14:67946357-67946379","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv80542","14:67946746-67946746","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv70967","14:67946754-67946754","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748472","14:67947739-67947753","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv83816","14:67951310-67951312","3","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2439284","14:67952068-67953586","1,519","CNV","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"nsv1748153","14:67952216-67952226","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771836","14:67952603-67952614","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748013","14:67952866-67952888","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1159052","14:67952907-67952907","-","translocation","DGVa:nstd106","Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
"nsv4529921","14:67953819-67956326","2,508","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748154","14:67956482-67956522","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv2773221","14:67956725-68428466","471,742","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3890768","14:67956725-68428466","471,742","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv1748155","14:67958241-67958262","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748473","14:67959252-67959264","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748156","14:67960085-67960096","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv70776","14:67960096-67960096","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748474","14:67960100-67960127","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748157","14:67961003-67961026","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771837","14:67964079-67964101","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748014","14:67964611-67964631","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4228066","14:67967732-67971668","3,937","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1771838","14:67973414-67973425","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv76227","14:67976101-67976101","1","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748158","14:67976101-67976113","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771839","14:67976451-67976478","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2926249","14:67979652-67979652","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv1748476","14:67980444-67980458","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771840","14:67981934-67981952","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4550191","14:67982730-67982730","-","insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4719060","14:67982730-67982730","-","insertion","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"nsv991805","14:67982731-67982732","-","mobile element insertion","DGVa:nstd94","Database of Genomic Variants Archive: Helman 2014 ""Somatic retrotransposition in human cancer revealed by whole-genome and exome sequencing."" PMID:24823667"
"nsv3340758","14:67982737-67982737","-","mobile element insertion","dbVar:nstd162","NCBI database of human genomic structural variation: Audano 2019 ""Although the accuracy of the human reference genome is critical for basic and clinical research, structural variants (SVs) have been difficult to assess because data capable of resolving them have been limited. To address potential bias, we generated long-read sequence data on thirteen genomes. Systematically merging SVs yielded 95,827 sequence-resolved insertions, deletions, and inversions. Among these, we identified more than 1 Mbp of SVs shared among all genomes and more than 6.5 Mbp of SVs in the majority of genomes indicating errors or extreme minor alleles captured in the reference."""
"nsv3099312","14:67982744-67982744","-","mobile element insertion","DGVa:nstd144","Database of Genomic Variants Archive: Gardner 2017 ""Mobile element insertions (MEIs) represent ~25% of all structural variants in human genomes. Moreover, when MEIs disrupt genes, they can influence human traits and diseases. Therefore, MEIs should be fully discovered along with other forms of genetic variation. Here, we describe the Mobile Element Locator Tool (MELT), which was developed as part of the 1000 Genomes Project to perform routine MEI discovery on a population scale. We then used MELT to perform MEI discovery in modern humans, chimpanzees, and ancient (Neanderthal and Denisovan) hominids. Overall, our study provides the most comprehensive map of MEIs to date spanning chimpanzees, ancient hominids, and modern humans."""
"nsv3550436","14:67982744-67982744","-","insertion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv3560669","14:67982744-67982744","-","mobile element insertion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv1748015","14:67983928-67983956","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771841","14:67985739-67985752","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771842","14:67985909-67985923","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748159","14:67986012-67986032","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv2778566","14:67986511-68374533","388,023","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3913035","14:67986511-68374533","388,023","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv1771843","14:67988462-67988491","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3436654","14:67988718-67989071","354","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"nsv83574","14:67993672-67993673","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv2926250","14:67994222-67994222","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv1748017","14:67995387-67995418","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748477","14:67995612-67995631","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748160","14:67996413-67996454","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1516283","14:67996443-67996443","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv1321794","14:67996446-67996454","9","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv1153910","14:67996615-67996615","-","translocation","DGVa:nstd107","Database of Genomic Variants Archive: Elsa 2014 ""Comprehensive analysis of a personal genome of Bedouin ancestry from Kuwait"""
"nsv1771844","14:67996981-67996996","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4511367","14:67998118-67998118","-","mobile element insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1748478","14:67999998-68000016","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771846","14:68001518-68001545","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748161","14:68002006-68002020","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv74842","14:68004341-68004342","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv69807","14:68004354-68004355","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748162","14:68008419-68008430","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771847","14:68012433-68012445","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv69664","14:68012436-68012436","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv68533","14:68012442-68012442","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv70835","14:68012443-68012443","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748479","14:68012448-68012472","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771848","14:68014186-68014214","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2276587","14:68014200-68014201","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv1748018","14:68014696-68014723","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748163","14:68014850-68014865","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4228206","14:68015484-68075313","59,830","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4511780","14:68015770-68015770","-","mobile element insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
